objectid,title,perfumer,house,date,country,latitude,longitude,all_accords,parfumo_accords,fragrantica_accords,house_notes,standard_notes,mode_gender,percentage,identifier,type,format,display_template,image_full,image_small,image_thumb
skin01,I Don't Know What,David Seth Moltz,D.S. & Durga,2018,USA,40.72333905,-73.99588178,synthetic; woody; fresh; spicy; citrus; woody; amber; musky; citrus; powdery,synthetic; woody; fresh; spicy; citrus,woody; amber; musky; citrus; powdery,bergamot; ISO E Super; vetiver acetate; civettone; ambrox super; firsantol,bergamot; ISO E Super; vetiver acetate; civettone; ambrox; firsantol,unisex,78%,,Image;StillImage,image/jpeg,image,https://cdn.sanity.io/images/1k2t1bm0/production/f41e7199073f34d6b024dd6d34454c1d6c834348-2554x2638.jpg?auto=format&q=75&url=https://cdn.sanity.io/images/1k2t1bm0/production/f41e7199073f34d6b024dd6d34454c1d6c834348-2554x2638.jpg&w=1400,https://cdn.sanity.io/images/1k2t1bm0/production/f41e7199073f34d6b024dd6d34454c1d6c834348-2554x2638.jpg?auto=format&q=75&url=https://cdn.sanity.io/images/1k2t1bm0/production/f41e7199073f34d6b024dd6d34454c1d6c834348-2554x2638.jpg&w=1400,https://cdn.sanity.io/images/1k2t1bm0/production/f41e7199073f34d6b024dd6d34454c1d6c834348-2554x2638.jpg?auto=format&q=75&url=https://cdn.sanity.io/images/1k2t1bm0/production/f41e7199073f34d6b024dd6d34454c1d6c834348-2554x2638.jpg&w=1400
skin02,Molecule 01,Geza Schön,Escentric Molecules,2006,Germany,51.165691,10.451526,woody; synthetic; fresh; spicy; sweet; woody; musky; amber; animalic; powdery,woody; synthetic; fresh; spicy; sweet,woody; musky; amber; animalic; powdery,ISO E Super,ISO E Super,unisex,0.7969303424,,Image;StillImage,image/jpeg,image,https://www.escentric.com/cdn/shop/files/M01_200ml_Solo_St_On_Bottle_OnBaseLine.jpg?v=1752681903&width=1946,https://www.escentric.com/cdn/shop/files/M01_200ml_Solo_St_On_Bottle_OnBaseLine.jpg?v=1752681903&width=1946,https://www.escentric.com/cdn/shop/files/M01_200ml_Solo_St_On_Bottle_OnBaseLine.jpg?v=1752681903&width=1946
skin03,Veil,Tom Jansen,Piper & Perro,2021,Canada,55.43689002,-98.0282763,powdery; floral; synthetic; creamy; powdery; iris; musky,powdery; floral; synthetic; creamy,powdery; iris; musky,pear; champagne; cardamom flower; orris root; tattoo ink accord; skin musk,pear; champagne; cardamom; cardamom flower; orris root; orris; tattoo ink accord; ink; skin musk; musk,unisex,0.4285714286,,Image;StillImage,image/jpeg,image,https://piperandperro.com/cdn/shop/files/nano-banana-2025-11-11T00-12-51_a9e4d446-4b7e-4051-9bf7-58dafee01c65.png?v=1762820136&width=799,https://piperandperro.com/cdn/shop/files/nano-banana-2025-11-11T00-12-51_a9e4d446-4b7e-4051-9bf7-58dafee01c65.png?v=1762820136&width=799,https://piperandperro.com/cdn/shop/files/nano-banana-2025-11-11T00-12-51_a9e4d446-4b7e-4051-9bf7-58dafee01c65.png?v=1762820136&width=799
skin04,Not a Perfume,Romano Ricci,Juliette has a gun,2010,France,43.65926953,6.926736062,synthetic; woody; fresh; powdery; sweet; amber; woody; musky; balsamic; warm spicy,synthetic; woody; fresh; powdery; sweet,amber; woody; musky; balsamic; warm spicy,cetalox,cetalox,unisex,0.6019060358,,Image;StillImage,image/jpeg,image,https://us.juliettehasagun.com/cdn/shop/files/03_Not_A_Perfume_Packshot_bestseller_200ml-1_1000x1000_crop_center.jpg?v=1740580581,https://us.juliettehasagun.com/cdn/shop/files/03_Not_A_Perfume_Packshot_bestseller_200ml-1_1000x1000_crop_center.jpg?v=1740580581,https://us.juliettehasagun.com/cdn/shop/files/03_Not_A_Perfume_Packshot_bestseller_200ml-1_1000x1000_crop_center.jpg?v=1740580581
skin05,Midnight,Marianne Nawrocki Sabatier,SW19,2022,South Korea,37.54056205,126.999569,powdery; woody; floral; powdery; musky; white floral; floral; fresh,powdery; woody; floral,powdery; musky; white floral; floral; fresh,lily of the valley; white lotus; white musk; powdery notes; sensual musk; musk; sandalwood; benzoin,lily of the valley; lotus; white musk; musk; powdery notes; sensual musk; sandalwood; benzoin,unisex,0.6170212766,,Image;StillImage,image/jpeg,image,https://en.sw19official.com/web/product/small/202606/95256aea6d43c21c6aa61d7374c4ac55.jpg,https://en.sw19official.com/web/product/small/202606/95256aea6d43c21c6aa61d7374c4ac55.jpg,https://en.sw19official.com/web/product/small/202606/95256aea6d43c21c6aa61d7374c4ac55.jpg
skin06,Cachemire {10},Paul Guerlain,Alchemist,2024,Indonesia,-6.192933563,106.8223531,musky; floral; powdery; woody; violet,,musky; floral; powdery; woody; violet,cinnamon bark oil LMR; pepper pink CO2 LMR; apple; rose accord; violet notes; ambrette ABS LMR; cedarwood heart; virginia LMR; musk,cinnamon; pink pepper; apple; rose; violet; ambrette; cedarwood; virginia; musk,unisex,0.5294117647,,Image;StillImage,image/jpeg,image,https://alchemistfragrance.com/cdn/shop/files/PDPWebsite_LC_Cachemire_3_997b0ad7-fe06-49a0-bb52-508a8bad4528.jpg?v=1780309776&width=713,https://alchemistfragrance.com/cdn/shop/files/PDPWebsite_LC_Cachemire_3_997b0ad7-fe06-49a0-bb52-508a8bad4528.jpg?v=1780309776&width=713,https://alchemistfragrance.com/cdn/shop/files/PDPWebsite_LC_Cachemire_3_997b0ad7-fe06-49a0-bb52-508a8bad4528.jpg?v=1780309776&width=713
skin07,Sur tes Levres,Dominique Ropion,D'Orsay,2023,France,48.86417308,2.326301759,powdery; floral; fresh; sweet; creamy; powdery; woody; iris; amber; musky,powdery; floral; fresh; sweet; creamy,powdery; woody; iris; amber; musky,"pink pepper; iris; cashmeran","pink pepper; iris; cashmeran",unisex,0.3682310469,,Image;StillImage,image/jpeg,image,https://www.dorsay.com/en/products/eau-de-parfum-sur-tes-levres-eq,https://www.dorsay.com/en/products/eau-de-parfum-sur-tes-levres-eq,https://www.dorsay.com/en/products/eau-de-parfum-sur-tes-levres-eq
skin08,Un Musc,Anne-Sophie Behaghel,Obvious,2020,France,48.85897523,2.360071009,woody; fresh; synthetic; citrus; musky; aromatic; woody; powdery; fresh spicy,woody; fresh; synthetic; citrus,musky; aromatic; woody; powdery; fresh spicy,italian bergamot; madagascar ginger; indian amarys; haitian vetiver; iranian galbanum; cocktail of musks,bergamot; ginger; amarys; vetiver; galbanum; musk,unisex,0.6797385621,,Image;StillImage,image/jpeg,image,https://www.obviousparfums.com/1366-thickbox_default/un-musc.jpg,https://www.obviousparfums.com/1366-thickbox_default/un-musc.jpg,https://www.obviousparfums.com/1366-thickbox_default/un-musc.jpg
skin09,Peau,Rodrigo Flores-Roux,Arquiste,2021,USA,40.73471428,-73.99905066,amber; musky; fresh spicy; aromatic; animalic,,amber; musky; fresh spicy; aromatic; animalic,ambergris accord; proprietary musk accord; clary sage; white pepper from india; coriander seed; sargassum; leather-like labdanum derivitaves; okoume wood from gabon; ambermax,ambergris; ambroxan; ambrox; musk; sage; clary sage; white pepper; coriander; sargassum; labdanum; leather; amber,unisex,0.6965174129,,Image;StillImage,image/jpeg,image,https://arquiste.com/cdn/shop/files/ARQUISTE_PEAU_3201100_FF_FINALIST_b841cf82-e2d0-4b56-b79e-2da5093db75a.png?v=1756152833&width=800,https://arquiste.com/cdn/shop/files/ARQUISTE_PEAU_3201100_FF_FINALIST_b841cf82-e2d0-4b56-b79e-2da5093db75a.png?v=1756152833&width=800,https://arquiste.com/cdn/shop/files/ARQUISTE_PEAU_3201100_FF_FINALIST_b841cf82-e2d0-4b56-b79e-2da5093db75a.png?v=1756152833&width=800
skin10,Amber Oil,Unknown,Nemat International,1991,USA,37.59456627,-122.0121269,resinous; fresh; oriental; sweet; animal; amber; animalic; powdery; soft spicy,resinous; fresh; oriental; sweet; animal,amber; animalic; powdery; soft spicy,,amber,unisex,0.6125511596,,Image;StillImage,image/jpeg,image,https://nematperfumes.com/cdn/shop/files/Nemat-amber-perfume-oil-alt1.jpg?v=1777387270&width=1200,https://nematperfumes.com/cdn/shop/files/Nemat-amber-perfume-oil-alt1.jpg?v=1777387270&width=1200,https://nematperfumes.com/cdn/shop/files/Nemat-amber-perfume-oil-alt1.jpg?v=1777387270&width=1200
